@relation 'Adult-weka.filters.unsupervised.attribute.ReplaceMissingValues_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.2-A5-M-1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 0.425relationship=Husband+0.425marital-status=Married-civ-spouse-0.325marital-status=Never-married+0.271sex=Male+0.232age... numeric
@attribute 0.461education-num+0.242native-country=United-States-0.228native-country=Mexico+0.227education=Bachelors+0.224occupation=Prof-specialty... numeric
@attribute -0.424race=Asian-Pac-Islander+0.422native-country=United-States+0.385race=White-0.23native-country=Philippines-0.166native-country=India... numeric
@attribute -0.353age-0.336relationship=Unmarried-0.335marital-status=Divorced+0.332marital-status=Never-married+0.317relationship=Own-child... numeric
@attribute '0.441race=White-0.428race=Black-0.291native-country=United-States+0.29 native-country=Mexico+0.232relationship=Not-in-family...' numeric
@attribute -0.571workclass=Private+0.333workclass=Self-emp-not-inc+0.311workclass=Local-gov+0.254occupation=Farming-fishing+0.229occupation=Protective-serv... numeric
@attribute '-0.388relationship=Wife+0.362relationship=Not-in-family+0.267hours-per-week-0.244occupation=Prof-specialty+0.24 race=Asian-Pac-Islander...' numeric
@attribute -0.355race=Black+0.275race=Asian-Pac-Islander+0.273relationship=Wife+0.254occupation=Adm-clerical-0.228fnlwgt... numeric
@attribute 0.409occupation=Prof-specialty-0.32education=Some-college-0.275occupation=Exec-managerial-0.236occupation=Adm-clerical+0.209education=Prof-school... numeric
@attribute '-0.333occupation=Sales+0.312occupation=Protective-serv+0.3  workclass=Local-gov-0.275workclass=Self-emp-inc-0.273workclass=Self-emp-not-inc...' numeric
@attribute income {<=50K,>50K}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
-1.807871,1.013329,-0.776854,0.542336,-1.877702,-0.360742,1.259545,-2.558782,-1.227522,-1.128978,<=50K,cluster5
1.598136,-1.296563,-2.510737,1.178744,-2.263459,-1.572681,1.607988,1.149261,0.721255,0.974634,>50K,cluster2
0.532315,-6.118634,-2.407391,-0.589931,0.580319,1.55069,-0.693851,-1.745763,-0.011976,-0.278643,<=50K,cluster1
-0.704712,-0.494671,1.548691,0.869176,-0.182718,4.290259,2.011443,1.819831,1.089021,-1.639099,<=50K,cluster0
-1.531849,-0.893082,0.953034,-0.642348,-0.201272,-0.993428,0.592903,-0.39719,0.485197,0.687018,<=50K,cluster4
1.273162,-1.562769,1.319457,0.724851,-0.373612,-0.724935,-0.178804,0.503102,0.516226,-1.569209,<=50K,cluster2
0.551466,3.002971,-0.877325,-2.730194,1.136414,0.969242,0.791681,0.357077,-0.668057,-1.173538,>50K,cluster4
3.025706,1.812752,-0.674916,1.320741,0.698342,-0.856927,-1.169737,-1.68565,2.132754,0.652392,>50K,cluster2
-2.96516,-0.799637,-1.582408,-3.710722,-2.893323,-0.848123,-1.277986,-1.520406,0.39179,-1.433105,<=50K,cluster4
1.143722,-2.375917,-1.105369,-1.678611,-3.013457,3.537608,-0.018346,-0.676482,-0.661867,-1.778439,<=50K,cluster0
1.704348,-1.936945,1.287552,0.310338,-0.681115,-0.545154,-0.438114,-0.218486,1.260276,-0.130809,<=50K,cluster2
-1.154861,0.567187,0.301917,-3.174378,0.380052,-1.90967,0.638388,0.878768,-0.382149,0.75795,<=50K,cluster4
2.856604,1.570093,-0.385198,0.032948,-0.169378,0.979802,-0.87247,-0.224944,-1.092136,1.523167,>50K,cluster0
-1.62816,-0.902763,1.947732,1.789528,-0.603446,0.262495,1.079199,0.268484,0.642563,1.045768,<=50K,cluster5
1.527924,-1.708341,-7.567951,2.66295,-1.547903,-1.509542,2.753823,3.515136,1.36042,-0.982964,>50K,cluster3
0.023403,0.468769,0.706965,-1.53324,1.023464,-1.077938,2.960881,-1.471159,-1.20948,0.605261,<=50K,cluster4
1.917297,-1.78263,1.226975,-0.280539,-0.615801,-0.948782,0.558457,0.118255,0.552438,1.119304,<=50K,cluster2
-0.336348,2.345399,0.156545,0.17763,-0.190786,3.969115,0.416941,-1.026354,-1.352311,4.18643,<=50K,cluster0
-2.654512,-0.043447,-0.028044,2.06413,-3.003284,0.501497,-0.080894,-1.217236,-1.454306,-2.065541,<=50K,cluster5
0.011362,1.833088,0.289393,0.615843,0.763098,-1.065224,0.627248,-0.834708,-1.413322,-0.618517,<=50K,cluster2
0.047101,0.919806,0.616367,0.458468,-1.258539,1.799677,-0.753578,2.612656,-2.335318,0.778459,<=50K,cluster0
-0.013175,-0.276121,-1.289946,-0.07711,-3.616547,2.359465,-2.11433,-0.584307,-0.764143,-0.319064,<=50K,cluster0
-2.127419,-3.078851,-1.604065,-0.464113,2.121655,-0.156931,-0.996672,-0.607241,-0.555266,0.010857,<=50K,cluster1
-1.981765,-0.379004,1.512834,2.247899,-0.348356,0.024755,-0.141921,0.180034,-0.414203,0.022563,<=50K,cluster5
-1.783806,0.132444,0.720024,-0.923507,-0.509511,-1.803533,-4.181787,3.884839,-1.001799,2.009566,<=50K,cluster4
1.334339,-0.531266,1.093359,1.063471,-0.452064,-0.898112,-0.295725,0.914376,-1.01527,-1.195619,>50K,cluster2
2.864331,0.907559,-0.107488,-0.075176,0.192921,1.563892,-0.432637,0.216738,0.593447,-0.45513,<=50K,cluster0
0.850998,-3.341281,0.928207,-0.069792,-0.049348,-0.57337,-1.036045,-1.464212,0.077938,0.057007,<=50K,cluster2
3.29829,1.453713,-0.364164,0.247567,0.43681,1.335638,-0.104316,0.247367,1.092511,-1.167718,<=50K,cluster0
1.918259,0.693488,0.349284,1.585503,-0.010323,-1.465796,-0.088712,-0.512985,-1.443192,0.483149,<=50K,cluster2
-1.751788,0.157302,0.121924,-3.256991,-0.287657,-1.48036,-0.384317,1.01806,-0.400688,0.230293,<=50K,cluster4
-1.903235,-0.608684,1.496088,0.987625,0.308778,0.05615,1.429237,-1.275213,0.648967,1.261255,<=50K,cluster5
2.17028,1.468979,-2.429508,-0.535419,-2.737254,1.108667,-1.19746,-2.358962,-0.906859,-0.264461,>50K,cluster0
1.651839,-1.872072,0.96396,-0.524225,-0.505156,-1.486013,-0.016439,-0.130684,0.79997,0.884291,<=50K,cluster2
-0.31486,2.690143,-0.60972,-2.160613,1.134773,-1.652479,0.008492,-0.181671,-0.556405,-0.21758,<=50K,cluster4
2.568572,0.153286,0.431773,-0.153857,-0.619119,1.314711,-0.111219,0.685464,-0.026781,1.763864,<=50K,cluster0
-1.071048,1.377578,0.544769,1.103309,1.121424,-0.234326,0.488287,-1.358241,0.911136,0.799491,<=50K,cluster5
-0.433222,-0.272674,-1.902613,0.016366,-1.003809,-1.199531,-2.978977,0.371778,-2.302698,-1.61203,<=50K,cluster4
-3.107075,-0.354582,1.425059,1.295845,-0.451642,0.301033,-0.521078,0.89617,0.954664,0.047015,<=50K,cluster5
1.581249,1.363652,-3.586463,0.276447,3.597589,-0.738719,-3.537989,0.706593,0.724565,-0.852883,>50K,cluster2
0.921758,3.054371,-0.599472,-1.492361,1.063399,0.616223,2.333529,-0.804002,-2.574618,0.277997,>50K,cluster0
0.959465,1.283438,0.347276,-2.131014,0.998358,0.647798,3.301752,-0.139742,-1.182269,-1.067562,<=50K,cluster0
1.48903,-0.403927,0.773497,0.706131,-0.378023,-0.994581,-0.630166,0.466131,-1.535602,0.344105,>50K,cluster2
0.657851,-6.911948,-1.922882,0.047141,4.907973,0.945483,-2.179561,-1.538007,-1.930878,0.695505,<=50K,cluster1
0.860505,-2.322371,-1.856288,0.422614,1.746744,-0.428693,-1.372681,0.379944,-1.195964,0.627051,<=50K,cluster2
1.341179,-0.988701,0.935474,-0.410935,-0.695747,-1.05182,-0.06389,0.870124,-0.379597,1.229182,<=50K,cluster2
1.332741,-1.854784,1.087339,0.094804,-0.597501,-1.369147,-0.009656,-0.335307,0.537163,0.912378,<=50K,cluster2
1.957461,0.551953,0.529163,1.512044,0.010067,-1.452352,0.031011,-0.047054,-0.680824,-1.208432,<=50K,cluster2
-1.186271,-1.555425,-0.184924,-1.086806,2.273509,0.685399,0.42869,-1.310963,1.984397,-0.520282,<=50K,cluster4
1.873655,-1.728752,1.231492,-0.394439,-0.864746,-0.941736,0.357981,-0.15855,0.788734,1.062544,<=50K,cluster2
2.853649,1.836769,-0.649666,1.280335,0.665644,-0.886663,-1.431728,-1.314048,2.464883,0.609789,>50K,cluster2
-0.825871,1.148983,0.79244,-0.49555,0.877525,-0.96041,1.864314,-0.026106,-1.68084,0.729234,<=50K,cluster4
1.70994,-1.76091,1.328546,0.046036,-0.690589,-0.894492,0.593175,0.183692,0.483943,1.181604,<=50K,cluster2
-2.056711,1.446801,0.602991,-1.349153,0.797146,-0.9204,0.632515,1.164516,-1.576578,0.688169,<=50K,cluster4
0.05198,-0.105417,0.290214,-1.555682,-0.344774,-1.817324,-2.435165,2.745234,-0.189755,0.870955,>50K,cluster4
3.156011,0.430764,0.24576,-0.016075,-0.168626,0.920846,0.398667,0.697171,-2.328861,-2.233744,>50K,cluster0
-1.699987,0.799808,1.105408,2.506224,0.04538,0.559117,-0.77165,0.101841,0.484419,-0.221193,<=50K,cluster5
-1.890922,0.847497,1.181904,2.651955,-0.017265,0.560678,-0.861774,0.41694,0.679337,-0.225377,<=50K,cluster5
-2.253448,1.089577,-1.298211,0.253899,-2.510379,-0.828916,-0.722843,-2.168257,-1.303937,-2.650676,<=50K,cluster5
3.208243,0.920245,0.249247,0.864503,0.050736,1.147828,1.408043,0.311666,-1.060089,-2.129366,>50K,cluster0
-1.713543,0.013824,1.131366,1.092969,0.501599,-0.361839,0.92858,-0.654213,-0.432424,0.38699,<=50K,cluster5
0.664072,-0.205139,-0.21038,-0.165706,0.514875,-0.410684,-1.606573,0.340397,1.053648,-0.427222,<=50K,cluster2
-2.590661,-3.197858,-0.69751,2.054651,2.606111,1.486246,-0.62448,-0.318752,-0.527969,0.53241,<=50K,cluster1
1.471487,0.334618,0.51083,0.159975,-0.374987,-1.214221,-0.687303,0.982609,-1.138627,1.01974,<=50K,cluster2
1.151678,-1.529073,0.662907,-0.369963,0.050185,-0.393773,-2.06883,-0.011511,2.6966,-0.618682,<=50K,cluster2
-3.705862,-0.844611,1.537574,1.852675,-0.298627,0.826209,-1.573564,0.806548,1.340547,-1.059376,<=50K,cluster5
2.023905,-2.346094,0.738734,-1.348405,0.160514,4.171208,-0.254083,1.201898,1.257166,-0.614844,<=50K,cluster0
-1.88981,-0.156503,1.426512,1.075519,0.376954,-0.292208,1.439458,-0.808713,-0.095186,-0.010046,<=50K,cluster5
1.636934,-1.309541,-2.216571,0.878515,2.567411,-0.833663,-1.32676,-0.22518,-1.543808,-0.422706,<=50K,cluster2
-0.15103,-0.55605,0.361226,-1.209864,-0.304179,-1.456437,-2.365822,2.403043,1.024761,-0.087551,<=50K,cluster4
1.996091,-1.217076,1.026932,-0.296371,-0.410133,-1.285259,0.476684,0.292005,0.151383,-0.500774,<=50K,cluster2
-1.042294,0.062917,0.881078,-2.001415,0.874113,-1.129471,1.937175,-0.445612,0.436601,1.044654,>50K,cluster4
-1.597139,0.059469,1.15159,-0.890474,0.148731,-1.023371,0.483378,0.784054,0.028301,-0.560711,<=50K,cluster4
2.465282,-0.252561,0.305128,-1.200656,-1.441483,3.31361,-0.942935,-0.083961,-0.355779,4.104189,>50K,cluster0
2.421611,1.322972,-0.225211,1.133727,0.474901,-0.763417,-1.253957,-1.282624,1.318499,0.734116,<=50K,cluster2
-1.762415,-1.150087,1.29493,0.432162,0.936261,0.201795,1.135944,-0.531405,0.546061,-1.349033,<=50K,cluster5
0.0041,4.151781,-1.338858,0.314229,1.317334,1.718343,-0.280427,-1.582097,1.140898,1.257099,>50K,cluster0
2.170994,0.119891,0.216885,0.185907,0.248391,-1.068283,-1.141584,-0.56427,0.926289,0.495661,<=50K,cluster2
-1.397158,0.365072,0.577116,-2.108253,0.300483,-1.119424,0.400735,0.73175,-1.175196,0.127555,<=50K,cluster4
-2.862449,-0.007307,-1.21915,-2.614331,-2.396673,-1.372774,-0.691741,-1.080498,-1.168026,-0.806259,<=50K,cluster4
-0.211365,-0.582714,-2.88364,0.483424,-2.191998,-2.44639,-0.503714,3.236655,0.913155,-0.676409,<=50K,cluster2
2.74111,1.473681,-0.303871,0.236246,-0.930926,3.09775,-1.264036,-0.614188,-1.269806,3.397372,>50K,cluster0
-1.029883,1.095749,0.802386,0.68058,0.170322,2.830921,0.746118,-0.529626,-0.42614,1.546715,<=50K,cluster5
4.351326,2.406256,-1.06169,0.545937,0.766771,1.560658,-0.372919,-0.806765,2.483366,-0.48956,>50K,cluster0
1.549469,-0.587713,1.009682,0.918697,-0.382518,-0.894144,-0.178189,0.53037,-1.265254,-1.183637,>50K,cluster2
-0.879883,0.975854,-2.603903,-1.946714,3.267096,-1.804047,0.259037,0.127906,-2.860731,0.827841,<=50K,cluster4
-2.386114,-0.145766,-0.730491,-0.013137,-3.730156,2.737834,0.065126,-0.819012,-0.52835,-0.072853,<=50K,cluster5
3.250187,1.148121,-0.289516,-0.193553,0.478557,-1.29048,-0.538898,-0.604319,0.086742,-0.140856,>50K,cluster2
2.947692,0.929776,0.002488,0.929666,0.340883,-1.483597,0.290241,-1.074709,-1.373543,-1.009374,>50K,cluster2
0.161034,3.400267,-0.596095,-0.12624,1.664319,2.172955,0.696436,-0.420836,2.038615,-0.429966,<=50K,cluster0
-2.505534,0.859974,1.265553,2.142232,-0.201252,-0.052672,-0.563245,1.117692,-1.361067,0.060556,<=50K,cluster5
-1.195366,-0.460329,1.525089,0.405676,0.28011,-0.190506,2.212213,-0.384032,0.816649,1.330023,<=50K,cluster5
2.689165,-1.10689,0.890325,-0.146027,-0.650369,0.998936,1.015645,0.239434,-0.412222,-0.444414,>50K,cluster0
-2.501287,-0.011425,1.067661,1.844451,0.316395,0.625497,-1.511629,-0.472548,2.325753,-1.549367,<=50K,cluster5
-2.389842,-1.370267,1.953026,2.445461,-0.340492,0.875116,-0.281317,-0.344233,1.184849,-0.31858,<=50K,cluster5
-1.784602,1.524941,0.452887,-1.133393,0.067093,2.066437,0.31197,0.850039,-0.147674,2.489087,<=50K,cluster5
1.328295,-1.766917,1.264755,0.298842,-0.622835,-0.770596,0.093051,-0.292158,0.662769,0.964195,<=50K,cluster2
-1.16434,0.650415,0.231505,2.351906,0.670387,-0.337074,0.412182,-1.265311,-1.151143,-1.084701,<=50K,cluster5
2.701929,1.557305,-0.393002,1.339449,0.50501,-0.77477,-1.185105,-1.068606,2.704847,-0.793165,>50K,cluster2
2.582231,-2.112726,-1.819448,-0.473621,2.03364,1.76417,0.301757,1.046236,0.223101,0.216161,>50K,cluster0
-0.339687,0.211463,0.483291,0.404589,-0.142818,-1.509405,-2.998389,2.207695,-1.260163,-1.456462,<=50K,cluster2
-2.212517,-0.609391,1.407906,0.75431,-0.290431,-0.572834,0.085264,0.483684,0.992931,0.568119,<=50K,cluster5
1.307753,-2.983648,1.064831,-0.219598,-0.02493,-0.154609,-0.507249,-0.802398,0.762666,-0.220645,<=50K,cluster2
2.886449,0.042953,0.461584,0.085873,-0.254752,0.882781,0.342562,0.8042,-1.951002,-2.777376,<=50K,cluster0
1.939555,-0.273547,-1.252322,-1.228455,-3.291735,1.716326,-0.683295,-1.567458,-0.400018,1.380633,>50K,cluster0
1.963953,-0.600701,0.857975,0.44721,-0.261639,-0.974509,-0.047185,0.347884,-1.266393,-1.273334,<=50K,cluster2
-1.298486,-0.459083,1.574135,0.584696,0.244488,-0.155328,2.236529,-0.404647,0.737761,1.3715,<=50K,cluster5
-2.947748,0.336074,1.226318,1.822484,-0.274665,0.538438,-0.910043,1.181887,-0.2554,-0.814228,<=50K,cluster5
2.739039,0.847151,0.138201,0.965527,0.243694,-1.446461,0.378457,-0.746517,-1.436641,-0.63669,<=50K,cluster2
-1.694354,0.49448,-3.318857,2.475065,-0.113114,-0.269623,-0.167862,-1.776525,-2.646897,-0.523863,<=50K,cluster5
2.628277,1.958566,-0.568077,1.042202,0.084009,1.347775,-1.128396,-0.78214,0.221938,0.897513,>50K,cluster0
-3.304657,-0.379085,-0.241863,1.738196,-3.119058,1.029767,-0.889685,-1.189337,-0.665246,-1.369328,<=50K,cluster5
1.125065,1.621246,-0.482523,0.016148,0.558046,-2.135128,-2.370505,0.967542,-1.348344,-0.904743,>50K,cluster2
-2.700175,1.061438,1.187428,1.710074,-0.365907,0.060009,-1.07801,2.034165,-1.023343,0.050011,<=50K,cluster5
1.288697,0.282823,0.55851,0.415732,-0.413579,-1.141614,-0.752288,0.792298,-1.34541,1.10727,>50K,cluster2
1.597489,-0.681292,0.715812,0.294837,-0.227921,-0.845847,-0.581355,-0.223559,1.489385,0.764414,<=50K,cluster2
-0.777159,0.213769,1.015208,-0.830696,0.798471,-0.565894,1.787196,-0.42638,-0.90446,0.773782,<=50K,cluster4
-1.462893,1.756282,0.733688,0.762135,0.941603,-0.833975,1.376575,-0.189786,-0.89237,-0.551981,<=50K,cluster5
-2.243132,0.347751,0.950558,0.019569,0.464753,-0.271817,0.915799,0.269554,1.192486,0.246341,<=50K,cluster5
2.592306,-1.30339,1.069958,-0.620268,-0.700295,1.639252,1.315,1.24341,0.86607,0.016039,<=50K,cluster0
2.135027,0.427903,0.436922,1.354711,0.083666,-1.422235,0.089535,-0.568736,-1.055369,-1.110311,<=50K,cluster2
-1.968912,1.790352,-1.441353,-2.018106,-1.434139,-1.429452,0.699235,-1.735048,-1.510055,0.383146,<=50K,cluster4
3.044429,1.456879,-3.599064,1.202294,2.184874,1.354956,-1.107915,-0.062778,-0.863632,1.357205,>50K,cluster0
3.040556,-1.262726,1.034141,-0.834707,-0.643322,1.596734,1.912787,1.097539,0.631946,0.070134,<=50K,cluster0
-0.222482,0.760625,0.171659,-0.444664,-0.154513,-1.833618,-2.985332,2.68714,-0.956878,0.837474,<=50K,cluster2
-2.159723,0.337909,1.710729,2.673269,-0.381123,0.214329,-0.149393,1.385446,-0.467212,-1.392007,<=50K,cluster5
1.46521,-1.485692,-2.419026,1.139701,-2.421304,-1.217796,1.466696,1.712713,0.316844,0.259203,>50K,cluster2
3.185952,-1.016495,0.779711,-0.989528,-0.557898,0.791577,1.223689,0.901708,0.159129,-0.525094,<=50K,cluster0
-2.377525,0.616241,1.404076,2.056916,-0.144114,0.009749,-0.353221,1.133838,-0.976656,-1.512007,<=50K,cluster5
-2.976825,-2.619426,-0.8124,2.944903,2.69383,1.828629,-1.548818,-0.057805,-1.765609,-0.209145,<=50K,cluster1
-1.129061,1.941374,0.186855,0.280251,1.362376,-0.652367,-0.001301,-0.776909,1.249768,0.462101,>50K,cluster5
-0.862584,0.029489,0.328561,0.560542,0.409895,-0.217304,0.150994,0.357204,-0.92926,0.003409,<=50K,cluster5
-2.789071,-0.672645,-0.62409,-1.658369,-3.142697,-0.472116,-0.020933,-1.582029,0.336265,-0.085645,<=50K,cluster4
0.450245,-0.909758,0.933538,0.970789,-0.615706,-0.309322,-1.255733,0.879417,-0.316967,-0.428667,<=50K,cluster2
-2.249161,-0.211772,0.268018,-3.248342,0.342347,-1.14782,-0.871186,1.569282,2.145234,-0.950684,<=50K,cluster4
2.103958,-1.987721,1.127648,-0.083962,-0.3181,-0.655524,-0.261031,0.032203,1.189368,-0.189937,<=50K,cluster2
-1.322198,1.763237,0.217337,-1.202229,1.397778,-0.821482,0.274042,-0.031471,0.371519,0.101373,<=50K,cluster4
-1.611472,-0.405288,-2.555432,-2.883975,3.09146,2.276217,-1.720193,1.287207,-3.21733,1.707817,<=50K,cluster1
-2.302841,0.604371,0.939896,-0.451863,0.398768,-0.537629,0.826192,0.627121,-0.108815,1.261802,<=50K,cluster5
-1.868402,-0.265151,-8.217084,3.674911,-0.509439,-1.928789,3.017105,2.809726,-0.473734,0.044715,<=50K,cluster3
-1.718145,-0.988793,1.914632,1.783318,-0.588562,0.295124,0.866019,0.061973,0.541378,1.086169,<=50K,cluster5
-0.48526,0.697816,0.478613,-1.612388,1.196406,-0.88331,1.413808,-1.054786,1.438724,1.069171,>50K,cluster4
1.995836,-1.769918,1.225884,-0.269111,-0.60821,-0.947572,0.69307,0.048124,0.470954,1.122699,<=50K,cluster2
-1.316435,1.147407,0.79245,2.067733,0.896885,-0.238674,1.239804,-1.784147,-0.159049,0.462826,<=50K,cluster5
-0.851942,0.228837,-1.797403,-3.169652,-2.690205,1.578999,-0.600242,-0.868003,-1.075059,-3.894879,<=50K,cluster4
-0.515466,-0.307408,1.25887,-1.295489,0.627707,-0.842651,2.991206,-0.691037,0.132254,1.593437,<=50K,cluster4
-1.598192,-0.030299,-2.198002,-0.719312,-2.181062,-0.288623,-0.367629,-3.131626,-0.649115,-1.799246,<=50K,cluster4
-1.720509,-1.595907,-0.439618,-3.019736,3.804046,0.26841,-0.709272,-0.418491,1.485989,-0.454372,<=50K,cluster4
-2.639597,-0.217598,0.703836,-0.869149,-0.157733,-0.423635,-0.224842,0.459081,0.484819,-0.082154,<=50K,cluster4
0.287185,2.978252,-4.48865,-1.720467,-0.796112,-0.324197,2.058032,1.415448,-0.430456,-1.741813,<=50K,cluster4
-2.218001,-0.581214,-4.97444,1.351205,1.173334,-1.107032,2.881961,0.815527,-0.522356,1.339102,<=50K,cluster3
3.211529,1.182798,-0.025467,0.254386,0.15884,1.420273,0.253025,0.491441,0.357532,-1.49986,>50K,cluster0
-2.467544,-1.85423,-1.977227,-1.644011,3.446277,0.110075,-1.197981,0.404011,-2.248274,-0.383035,<=50K,cluster1
-0.147193,2.429937,-0.022561,-0.002154,0.442758,1.491109,1.465084,-0.402724,-2.386453,0.719925,<=50K,cluster0
0.705779,2.919843,-1.171679,-2.865173,0.12902,2.882484,-1.22671,0.231729,1.03292,2.506079,<=50K,cluster0
-2.906927,-1.30533,2.112564,2.762159,-0.480472,0.890431,-0.658426,0.330768,1.638823,-0.314643,<=50K,cluster5
-0.332671,2.70333,-0.746258,-3.156904,1.552426,1.253733,-1.252262,0.682168,2.97683,0.801278,<=50K,cluster4
-1.607394,-0.048853,1.084242,0.417084,0.36694,-0.047439,1.318796,-0.353732,1.127568,0.41239,<=50K,cluster5
2.086958,-0.105583,0.429622,-0.408868,-1.543644,3.200369,-0.630321,0.369327,-0.437727,3.799437,<=50K,cluster0
2.038382,-0.340304,0.843038,0.609034,-0.286408,-1.10788,-0.279909,0.78489,-0.7996,-1.377704,>50K,cluster2
-0.674762,1.058084,0.730404,1.583962,0.928042,-0.358433,1.803892,-1.825957,-0.643565,0.694439,<=50K,cluster5
2.498082,2.015487,-0.520475,1.057452,0.041486,1.3183,-1.247527,-0.392181,0.519316,0.855705,>50K,cluster0
-2.012304,-0.451,-0.090213,-1.593557,0.622862,-1.128634,0.195039,0.401146,-0.256582,-0.862775,<=50K,cluster4
-2.431604,-1.26791,0.25053,1.156638,-3.280047,0.519789,0.699451,-1.818995,0.12279,0.325913,<=50K,cluster5
-2.527469,-0.995379,-0.26968,0.175933,-2.312674,0.291723,1.115367,-3.527735,0.057131,0.519347,<=50K,cluster5
-2.795114,-0.724377,1.645785,1.768829,-0.62747,0.51912,-0.403116,0.793294,1.276601,0.188439,<=50K,cluster5
2.50194,1.116176,-0.015956,1.327271,0.403766,-1.152955,-0.324885,-0.966911,0.438228,-0.041711,<=50K,cluster2
1.649427,0.369674,-1.473195,-0.87724,-3.25198,1.917391,-1.199273,-1.188333,-1.858303,-0.240408,>50K,cluster0
-1.777017,1.490616,0.509125,-1.756543,0.869853,-1.019134,0.6842,1.331832,-1.333307,0.570527,<=50K,cluster4
-2.134069,-0.39632,-0.419908,0.526281,-2.202554,0.45908,0.999267,-3.016047,-1.488297,-0.058692,<=50K,cluster5
0.821056,-5.990317,-1.195442,-0.192154,3.337108,0.608384,-1.475796,-0.940878,-0.359979,0.003605,>50K,cluster1
1.708644,0.582323,0.266604,-0.449363,-1.149222,1.255529,-0.540577,2.2279,-2.449827,0.937216,>50K,cluster0
0.255755,-1.374721,-0.686715,-0.790072,-3.437736,-0.741882,-0.62375,-1.146534,-0.895696,0.568397,<=50K,cluster2
0.317953,3.020168,-0.339773,-1.575381,1.618007,0.914616,2.255863,0.356058,-0.973991,-1.462212,<=50K,cluster4
-0.409171,2.848368,-0.421206,-1.067423,1.925179,-1.432757,0.786223,-1.029059,0.702968,0.077413,<=50K,cluster4
1.063986,2.293583,-0.756288,0.300571,0.753416,-1.500199,-3.346365,0.736245,1.450311,0.408422,<=50K,cluster2
