@relation 'CarEvaluation-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-9-S1-seed1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute eval {unacc,acc,good,vgood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0.675876,0.723995,0.92009,0.090378,0.157699,0.007841,0.01249,0.268537,0.932069,0.900278,0.994312,0.06349,0.031442,0.876469,0.990777,unacc,cluster0
0.675872,0.985018,0.920085,0.090376,0.157698,0.00784,0.012488,0.268541,0.932068,0.90028,0.994311,0.06349,0.031445,0.87647,0.022984,unacc,cluster0
0.675894,0.009383,0.920089,0.090378,0.157708,0.007842,0.01249,0.268537,0.932072,0.900287,0.994311,0.063496,0.031441,0.876459,0.183942,unacc,cluster0
0.008546,0.724033,0.920086,0.090363,0.157703,0.833562,0.709826,0.268533,0.932054,0.900263,0.994312,0.063492,0.031438,0.014586,0.990776,unacc,cluster0
0.008546,0.985021,0.92008,0.090361,0.157702,0.833552,0.709794,0.268537,0.932053,0.900265,0.994311,0.063492,0.031441,0.014587,0.022982,unacc,cluster0
0.008547,0.009385,0.920084,0.090363,0.157712,0.833581,0.709824,0.268534,0.932058,0.900272,0.994311,0.063499,0.031438,0.014585,0.183929,unacc,cluster0
0.008545,0.724013,0.920098,0.090361,0.157721,0.833555,0.990133,0.268515,0.93206,0.900268,0.994312,0.063487,0.031443,0.982145,0.990775,unacc,cluster0
0.008545,0.985019,0.920092,0.090359,0.15772,0.833544,0.990131,0.268519,0.932059,0.90027,0.994312,0.063487,0.031446,0.982145,0.02298,unacc,cluster0
0.008546,0.009384,0.920096,0.090361,0.157731,0.833574,0.990133,0.268515,0.932064,0.900278,0.994312,0.063494,0.031443,0.982143,0.183911,unacc,cluster0
0.008546,0.724003,0.920089,0.09036,0.157715,0.833567,0.012491,0.268536,0.932058,0.90027,0.994312,0.063489,0.031439,0.876464,0.990777,unacc,cluster0
0.008545,0.985018,0.920083,0.090358,0.157713,0.833557,0.012489,0.26854,0.932057,0.900272,0.994311,0.06349,0.031443,0.876465,0.022984,unacc,cluster0
0.008546,0.009383,0.920087,0.09036,0.157724,0.833587,0.012491,0.268536,0.932061,0.900279,0.994311,0.063496,0.031439,0.876455,0.183942,unacc,cluster0
0.985326,0.724046,0.028405,0.090382,0.157749,0.967955,0.709853,0.269362,0.03484,0.90028,0.994312,0.063496,0.031442,0.01459,0.990776,unacc,cluster0
0.985325,0.985022,0.028403,0.09038,0.157747,0.967952,0.70982,0.269365,0.034839,0.900282,0.994311,0.063497,0.031446,0.01459,0.022984,unacc,cluster0
0.985327,0.009385,0.028404,0.090382,0.157758,0.967959,0.709851,0.269362,0.034842,0.90029,0.994311,0.063503,0.031442,0.014588,0.18394,unacc,cluster0
0.985324,0.724025,0.02841,0.09038,0.157767,0.967953,0.990134,0.269343,0.034843,0.900285,0.994312,0.063492,0.031447,0.982149,0.990775,unacc,cluster0
0.985324,0.98502,0.028407,0.090378,0.157765,0.967951,0.990133,0.269347,0.034843,0.900288,0.994312,0.063492,0.031451,0.982149,0.022981,unacc,cluster0
0.985326,0.009384,0.028409,0.09038,0.157776,0.967957,0.990134,0.269343,0.034845,0.900295,0.994311,0.063498,0.031447,0.982147,0.183922,unacc,cluster0
0.985325,0.724016,0.028406,0.090379,0.15776,0.967956,0.012493,0.269364,0.034842,0.900287,0.994312,0.063494,0.031444,0.876488,0.990777,unacc,cluster0
0.985325,0.985019,0.028404,0.090377,0.157759,0.967954,0.012491,0.269368,0.034841,0.900289,0.994311,0.063494,0.031447,0.876489,0.022986,unacc,cluster0
0.985326,0.009384,0.028405,0.090379,0.157769,0.96796,0.012493,0.269364,0.034843,0.900297,0.994311,0.063501,0.031444,0.876479,0.183953,unacc,cluster0
0.675924,0.724021,0.0284,0.09039,0.157714,0.007842,0.709841,0.269381,0.034842,0.900279,0.994311,0.063498,0.031443,0.01459,0.990776,unacc,cluster0
0.675921,0.98502,0.028398,0.090388,0.157713,0.007841,0.709809,0.269385,0.034842,0.900281,0.994311,0.063498,0.031446,0.01459,0.022984,unacc,cluster0
0.675942,0.009384,0.0284,0.090389,0.157724,0.007843,0.709839,0.269381,0.034844,0.900289,0.994311,0.063505,0.031443,0.014589,0.183937,unacc,cluster0
0.675904,0.724,0.028405,0.090388,0.157733,0.007841,0.990134,0.269362,0.034846,0.900284,0.994312,0.063493,0.031448,0.982149,0.990775,unacc,cluster0
0.675901,0.985018,0.028403,0.090386,0.157731,0.007841,0.990132,0.269366,0.034845,0.900287,0.994311,0.063493,0.031451,0.982149,0.022981,unacc,cluster0
0.675922,0.009383,0.028404,0.090387,0.157742,0.007842,0.990133,0.269363,0.034847,0.900294,0.994311,0.0635,0.031447,0.982147,0.183919,unacc,cluster0
0.675916,0.723991,0.028402,0.090387,0.157726,0.007842,0.012492,0.269383,0.034844,0.900286,0.994311,0.063495,0.031444,0.876489,0.990777,unacc,cluster0
0.675913,0.985017,0.028399,0.090385,0.157725,0.007841,0.01249,0.269387,0.034844,0.900288,0.994311,0.063496,0.031448,0.87649,0.022986,unacc,cluster0
0.675934,0.009383,0.028401,0.090386,0.157735,0.007843,0.012492,0.269384,0.034846,0.900296,0.994311,0.063502,0.031444,0.87648,0.18395,unacc,cluster0
0.008548,0.724029,0.0284,0.090372,0.15773,0.833579,0.709856,0.26938,0.034837,0.900271,0.994312,0.063497,0.031441,0.014589,0.990776,unacc,cluster0
0.008547,0.98502,0.028398,0.09037,0.157729,0.833569,0.709824,0.269383,0.034836,0.900273,0.994311,0.063498,0.031444,0.014589,0.022984,unacc,cluster0
0.008548,0.009384,0.028399,0.090371,0.157739,0.833599,0.709854,0.26938,0.034838,0.900281,0.994311,0.063504,0.031441,0.014588,0.183937,unacc,cluster0
0.008547,0.724009,0.028404,0.09037,0.157748,0.833572,0.990134,0.269361,0.03484,0.900276,0.994312,0.063493,0.031446,0.982148,0.990775,unacc,cluster0
0.008547,0.985019,0.028402,0.090368,0.157747,0.833561,0.990133,0.269365,0.034839,0.900279,0.994312,0.063493,0.031449,0.982148,0.022981,unacc,cluster0
0.008547,0.009384,0.028404,0.090369,0.157757,0.833591,0.990134,0.269362,0.034841,0.900286,0.994311,0.063499,0.031445,0.982146,0.183919,unacc,cluster0
0.008547,0.723999,0.028401,0.090369,0.157741,0.833584,0.012493,0.269382,0.034838,0.900278,0.994312,0.063495,0.031442,0.876485,0.990777,unacc,cluster0
0.008547,0.985018,0.028399,0.090367,0.15774,0.833574,0.012491,0.269386,0.034838,0.90028,0.994311,0.063495,0.031446,0.876486,0.022986,unacc,cluster0
0.008548,0.009383,0.0284,0.090368,0.15775,0.833604,0.012493,0.269383,0.03484,0.900288,0.994311,0.063502,0.031442,0.876475,0.18395,unacc,cluster0
0.985325,0.724044,0.920367,0.090382,0.157745,0.967956,0.709865,0.998192,0.034983,0.900276,0.994313,0.063493,0.031436,0.01459,0.990776,unacc,cluster0
0.985325,0.985021,0.920362,0.09038,0.157744,0.967954,0.709832,0.998192,0.034983,0.900278,0.994312,0.063493,0.031439,0.01459,0.022983,unacc,cluster0
0.985327,0.009385,0.920365,0.090382,0.157755,0.967961,0.709863,0.998192,0.034985,0.900285,0.994312,0.0635,0.031435,0.014589,0.183931,unacc,cluster0
0.985324,0.724023,0.920379,0.09038,0.157764,0.967955,0.990135,0.998192,0.034987,0.900281,0.994313,0.063488,0.03144,0.982149,0.990775,unacc,cluster0
0.985324,0.98502,0.920374,0.090378,0.157762,0.967952,0.990133,0.998192,0.034986,0.900283,0.994312,0.063489,0.031444,0.982149,0.02298,unacc,cluster0
0.985325,0.009384,0.920377,0.09038,0.157773,0.967959,0.990135,0.998192,0.034988,0.900291,0.994312,0.063495,0.03144,0.982147,0.183914,unacc,cluster0
0.985325,0.724013,0.92037,0.090379,0.157757,0.967958,0.012494,0.998192,0.034985,0.900283,0.994313,0.06349,0.031437,0.876491,0.990777,unacc,cluster0
0.985325,0.985019,0.920365,0.090377,0.157755,0.967955,0.012492,0.998192,0.034985,0.900285,0.994312,0.063491,0.03144,0.876491,0.022985,unacc,cluster0
0.985326,0.009384,0.920368,0.090379,0.157766,0.967962,0.012494,0.998192,0.034987,0.900292,0.994312,0.063497,0.031437,0.876481,0.183944,unacc,cluster0
0.675919,0.724019,0.920355,0.09039,0.157711,0.007842,0.709853,0.998192,0.034986,0.900274,0.994312,0.063494,0.031436,0.01459,0.990776,unacc,cluster0
0.675916,0.98502,0.920349,0.090388,0.15771,0.007841,0.709821,0.998192,0.034985,0.900277,0.994312,0.063495,0.03144,0.01459,0.022982,unacc,cluster0
0.675937,0.009384,0.920353,0.090389,0.15772,0.007843,0.709851,0.998192,0.034988,0.900284,0.994311,0.063501,0.031436,0.014589,0.183929,unacc,cluster0
0.675899,0.723998,0.920367,0.090388,0.157729,0.007842,0.990134,0.998192,0.034989,0.90028,0.994312,0.06349,0.031441,0.982149,0.990775,unacc,cluster0
0.675895,0.985018,0.920361,0.090386,0.157728,0.007841,0.990133,0.998192,0.034989,0.900282,0.994312,0.06349,0.031444,0.982149,0.02298,unacc,cluster0
0.675917,0.009383,0.920365,0.090387,0.157739,0.007843,0.990134,0.998192,0.034991,0.900289,0.994312,0.063496,0.031441,0.982148,0.183911,unacc,cluster0
0.675911,0.723988,0.920358,0.090387,0.157723,0.007842,0.012493,0.998192,0.034988,0.900281,0.994312,0.063492,0.031438,0.876492,0.990777,unacc,cluster0
0.675907,0.985017,0.920352,0.090385,0.157721,0.007842,0.012491,0.998192,0.034987,0.900284,0.994312,0.063492,0.031441,0.876492,0.022984,unacc,cluster0
0.675929,0.009383,0.920356,0.090386,0.157732,0.007843,0.012493,0.998192,0.034989,0.900291,0.994311,0.063499,0.031437,0.876482,0.183942,unacc,cluster0
0.008547,0.724027,0.920353,0.090372,0.157727,0.833586,0.709868,0.998192,0.03498,0.900266,0.994313,0.063494,0.031434,0.014589,0.990776,unacc,cluster0
0.008547,0.98502,0.920348,0.09037,0.157725,0.833576,0.709836,0.998192,0.034979,0.900269,0.994312,0.063494,0.031437,0.01459,0.022982,unacc,cluster0
0.008548,0.009384,0.920351,0.090371,0.157736,0.833606,0.709866,0.998192,0.034982,0.900276,0.994312,0.063501,0.031434,0.014588,0.183929,unacc,cluster0
0.008547,0.724006,0.920365,0.09037,0.157745,0.833579,0.990135,0.998192,0.034983,0.900272,0.994313,0.063489,0.031439,0.982148,0.990775,unacc,cluster0
0.008546,0.985019,0.92036,0.090368,0.157744,0.833569,0.990133,0.998192,0.034983,0.900274,0.994312,0.06349,0.031442,0.982148,0.02298,unacc,cluster0
0.008547,0.009383,0.920363,0.090369,0.157754,0.833598,0.990135,0.998192,0.034985,0.900281,0.994312,0.063496,0.031439,0.982147,0.183911,unacc,cluster0
0.008547,0.723996,0.920356,0.090369,0.157738,0.833592,0.012494,0.998192,0.034982,0.900273,0.994313,0.063492,0.031435,0.876487,0.990777,unacc,cluster0
0.008547,0.985018,0.920351,0.090367,0.157737,0.833581,0.012492,0.998192,0.034981,0.900276,0.994312,0.063492,0.031439,0.876488,0.022984,unacc,cluster0
0.008548,0.009383,0.920354,0.090368,0.157747,0.833611,0.012494,0.998192,0.034983,0.900283,0.994312,0.063498,0.031435,0.876478,0.183942,unacc,cluster0
0.985325,0.724059,0.028512,0.976099,0.15776,0.96796,0.709867,0.998193,0.932279,0.900308,0.994313,0.962291,0.03144,0.01459,0.990776,unacc,cluster3
0.985325,0.985023,0.028509,0.976098,0.157759,0.967958,0.709834,0.998193,0.932278,0.90031,0.994312,0.962291,0.031443,0.01459,0.022983,unacc,cluster3
0.985327,0.009386,0.028511,0.976099,0.157769,0.967965,0.709865,0.998193,0.932282,0.900318,0.994312,0.962295,0.03144,0.014588,0.183932,unacc,cluster3
0.985324,0.724039,0.028516,0.976098,0.157778,0.967959,0.990135,0.998192,0.932285,0.900313,0.994313,0.962288,0.031445,0.982149,0.990775,unacc,cluster3
0.985324,0.985021,0.028514,0.976098,0.157777,0.967956,0.990133,0.998192,0.932284,0.900316,0.994313,0.962288,0.031448,0.982149,0.02298,unacc,cluster3
0.985325,0.009385,0.028515,0.976098,0.157787,0.967963,0.990135,0.998192,0.932288,0.900323,0.994313,0.962292,0.031444,0.982147,0.183915,unacc,cluster3
0.985325,0.724029,0.028513,0.976098,0.157771,0.967962,0.012494,0.998193,0.932282,0.900315,0.994313,0.962289,0.031441,0.876489,0.990777,unacc,cluster3
0.985325,0.98502,0.028511,0.976098,0.15777,0.967959,0.012492,0.998193,0.932281,0.900317,0.994312,0.962289,0.031445,0.876489,0.022985,unacc,cluster3
0.985326,0.009384,0.028512,0.976098,0.157781,0.967966,0.012494,0.998193,0.932285,0.900325,0.994312,0.962293,0.031441,0.876479,0.183945,unacc,cluster3
0.675918,0.724034,0.028507,0.976101,0.157726,0.007843,0.709855,0.998193,0.932283,0.900307,0.994313,0.962292,0.03144,0.01459,0.990776,unacc,cluster3
0.675915,0.985021,0.028505,0.976101,0.157725,0.007842,0.709823,0.998193,0.932282,0.900309,0.994312,0.962292,0.031444,0.01459,0.022983,unacc,cluster3
0.675936,0.009385,0.028506,0.976101,0.157735,0.007844,0.709853,0.998193,0.932286,0.900316,0.994312,0.962296,0.03144,0.014589,0.18393,unacc,cluster3
0.675898,0.724014,0.028511,0.976101,0.157744,0.007843,0.990134,0.998193,0.932289,0.900312,0.994313,0.962289,0.031445,0.982149,0.990775,unacc,cluster3
0.675895,0.985019,0.028509,0.9761,0.157743,0.007842,0.990133,0.998193,0.932288,0.900314,0.994312,0.962289,0.031448,0.982149,0.02298,unacc,cluster3
0.675916,0.009384,0.028511,0.9761,0.157753,0.007844,0.990134,0.998193,0.932292,0.900322,0.994312,0.962293,0.031445,0.982147,0.183912,unacc,cluster3
0.67591,0.724004,0.028508,0.9761,0.157737,0.007843,0.012493,0.998193,0.932286,0.900314,0.994313,0.96229,0.031442,0.87649,0.990777,unacc,cluster3
0.675907,0.985018,0.028506,0.9761,0.157736,0.007843,0.012491,0.998193,0.932285,0.900316,0.994312,0.96229,0.031445,0.87649,0.022985,unacc,cluster3
0.675928,0.009383,0.028507,0.9761,0.157746,0.007844,0.012493,0.998193,0.932289,0.900323,0.994312,0.962294,0.031441,0.87648,0.183943,unacc,cluster3
0.008547,0.724043,0.028506,0.976096,0.157741,0.833604,0.70987,0.998193,0.932272,0.900299,0.994313,0.962291,0.031438,0.014589,0.990776,unacc,cluster3
0.008547,0.985021,0.028504,0.976096,0.15774,0.833594,0.709838,0.998193,0.932271,0.900301,0.994313,0.962292,0.031442,0.014589,0.022983,unacc,cluster3
0.008548,0.009385,0.028506,0.976096,0.15775,0.833624,0.709869,0.998193,0.932275,0.900308,0.994312,0.962295,0.031438,0.014588,0.183929,unacc,cluster3
0.008547,0.724022,0.028511,0.976095,0.157759,0.833597,0.990135,0.998193,0.932278,0.900304,0.994313,0.962288,0.031443,0.982148,0.990775,unacc,cluster3
0.008546,0.98502,0.028509,0.976095,0.157758,0.833587,0.990133,0.998193,0.932277,0.900306,0.994313,0.962289,0.031446,0.982148,0.02298,unacc,cluster3
0.008547,0.009384,0.02851,0.976095,0.157769,0.833616,0.990135,0.998193,0.932281,0.900314,0.994313,0.962293,0.031443,0.982147,0.183912,unacc,cluster3
0.008547,0.724012,0.028507,0.976095,0.157753,0.833609,0.012494,0.998193,0.932275,0.900306,0.994313,0.96229,0.03144,0.876485,0.990777,unacc,cluster3
0.008547,0.985019,0.028505,0.976095,0.157751,0.833599,0.012492,0.998193,0.932274,0.900308,0.994313,0.96229,0.031443,0.876486,0.022984,unacc,cluster3
0.008548,0.009384,0.028507,0.976095,0.157762,0.833629,0.012494,0.998193,0.932279,0.900315,0.994312,0.962294,0.031439,0.876476,0.183942,unacc,cluster3
0.985323,0.724067,0.920107,0.976097,0.157745,0.967956,0.709836,0.268522,0.932071,0.900299,0.994313,0.962287,0.031442,0.014587,0.990776,unacc,cluster3
0.985323,0.985023,0.920101,0.976096,0.157744,0.967953,0.709804,0.268526,0.93207,0.900301,0.994312,0.962287,0.031445,0.014587,0.022982,unacc,cluster3
0.985324,0.009386,0.920105,0.976097,0.157754,0.96796,0.709834,0.268522,0.932074,0.900309,0.994312,0.962291,0.031441,0.014586,0.183927,unacc,cluster3
0.985322,0.724046,0.920119,0.976096,0.157763,0.967954,0.990133,0.268504,0.932077,0.900304,0.994313,0.962284,0.031446,0.982145,0.990775,unacc,cluster3
0.985321,0.985022,0.920113,0.976096,0.157762,0.967952,0.990132,0.268507,0.932076,0.900307,0.994313,0.962285,0.03145,0.982146,0.022979,unacc,cluster3
0.985323,0.009385,0.920117,0.976096,0.157773,0.967958,0.990133,0.268504,0.93208,0.900314,0.994312,0.962289,0.031446,0.982144,0.183909,unacc,cluster3
0.985322,0.724036,0.92011,0.976096,0.157757,0.967957,0.012492,0.268524,0.932074,0.900306,0.994313,0.962286,0.031443,0.876469,0.990776,unacc,cluster3
0.985322,0.985021,0.920104,0.976095,0.157755,0.967955,0.01249,0.268528,0.932073,0.900308,0.994312,0.962286,0.031446,0.87647,0.022984,unacc,cluster3
0.985324,0.009385,0.920108,0.976096,0.157766,0.967961,0.012492,0.268525,0.932077,0.900316,0.994312,0.96229,0.031443,0.87646,0.18394,unacc,cluster3
0.675883,0.724042,0.920094,0.976099,0.157711,0.007842,0.709825,0.268541,0.932075,0.900298,0.994313,0.962288,0.031442,0.014587,0.990776,unacc,cluster3
0.675879,0.985021,0.920089,0.976098,0.15771,0.007841,0.709792,0.268545,0.932074,0.9003,0.994312,0.962288,0.031446,0.014587,0.022982,unacc,cluster3
0.675901,0.009385,0.920093,0.976099,0.15772,0.007843,0.709823,0.268541,0.932078,0.900307,0.994312,0.962292,0.031442,0.014586,0.183924,unacc,cluster3
0.675863,0.724021,0.920106,0.976098,0.157729,0.007841,0.990133,0.268523,0.932081,0.900303,0.994313,0.962285,0.031447,0.982146,0.990774,unacc,cluster3
0.675859,0.98502,0.920101,0.976098,0.157728,0.007841,0.990131,0.268526,0.93208,0.900305,0.994312,0.962285,0.03145,0.982146,0.022979,unacc,cluster3
0.675881,0.009384,0.920105,0.976098,0.157738,0.007843,0.990133,0.268523,0.932084,0.900313,0.994312,0.962289,0.031447,0.982144,0.183907,unacc,cluster3
0.675875,0.724011,0.920097,0.976098,0.157723,0.007842,0.012491,0.268544,0.932078,0.900305,0.994313,0.962287,0.031444,0.87647,0.990776,unacc,cluster3
0.675871,0.985019,0.920092,0.976097,0.157721,0.007842,0.012489,0.268547,0.932077,0.900307,0.994312,0.962287,0.031447,0.876471,0.022984,unacc,cluster3
0.675893,0.009384,0.920095,0.976098,0.157732,0.007843,0.012491,0.268544,0.932081,0.900314,0.994312,0.962291,0.031443,0.876461,0.183937,unacc,cluster3
0.008546,0.72405,0.920093,0.976094,0.157727,0.833584,0.70984,0.26854,0.932064,0.90029,0.994313,0.962288,0.03144,0.014587,0.990775,unacc,cluster3
